Current[A]     Field_Gradient[T/m]
68.387              8.65806     
68.417              8.66212     
68.448              8.66619     
68.478              8.67025     
68.508              8.67432     
68.539              8.67838     
68.569              8.68245     
68.599              8.68651     
68.63               8.69058     
68.66               8.69464     
68.69               8.69871     
68.72               8.70277     
68.751              8.70683     
68.781              8.7109      
68.811              8.71496     
68.842              8.71903     
68.872              8.72309     
68.902              8.72716     
68.933              8.73122     
68.963              8.73529     
68.993              8.73935     
69.023              8.74341     
69.054              8.74748     
69.084              8.75154     
69.114              8.75561     
69.145              8.75967     
69.175              8.76374     
69.205              8.7678      
69.236              8.77187     
69.266              8.77593     
69.296              8.78        
69.326              8.78406     
69.357              8.78812     
69.387              8.79219     
69.417              8.79625     
69.448              8.80032     
69.478              8.80438     
69.508              8.80845     
69.538              8.81251     
69.569              8.81658     
69.599              8.82064     
69.629              8.8247      
69.66               8.82877     
69.69               8.83283     
69.72               8.8369      
69.751              8.84096     
69.781              8.84503     
69.811              8.84909     
69.841              8.85316     
69.872              8.85722     
69.902              8.86129     
69.932              8.86535     
69.963              8.86941     
69.993              8.87348     
70.023              8.87754     
70.054              8.88161     
70.084              8.88567     
70.114              8.88974     
70.145              8.8938      
70.175              8.89787     
70.205              8.90193     
70.235              8.90599     
70.266              8.91006     
70.296              8.91412     
70.326              8.91819     
70.357              8.92225     
70.387              8.92632     
70.417              8.93038     
70.448              8.93445     
70.478              8.93851     
70.508              8.94258     
70.538              8.94664     
70.569              8.9507      
70.599              8.95477     
70.629              8.95883     
70.66               8.9629      
70.69               8.96696     
70.72               8.97103     
70.751              8.97509     
70.781              8.97916     
70.811              8.98322     
70.841              8.98728     
70.872              8.99135     
70.902              8.99541     
70.932              8.99948     
70.963              9.00354     
70.993              9.00761     
71.023              9.01167     
71.053              9.01574     
71.084              9.0198      
71.114              9.02387     
71.144              9.02793     
71.175              9.03199     
71.205              9.03606     
71.235              9.04012     
71.266              9.04419     
71.296              9.04825     
71.326              9.05232     
71.356              9.05638     
71.387              9.06045     
71.417              9.06451     
71.447              9.06857     
71.478              9.07264     
71.508              9.0767      
71.538              9.08077     
71.569              9.08483     
71.599              9.0889      
71.629              9.09296     
71.659              9.09703     
71.69               9.10109     
71.72               9.10515     
71.75               9.10922     
71.781              9.11328     
71.811              9.11735     
71.841              9.12141     
71.872              9.12548     
71.902              9.12954     
71.932              9.13361     
71.963              9.13767     
71.993              9.14174     
72.023              9.1458      
72.053              9.14986     
72.084              9.15393     
72.114              9.15799     
72.144              9.16206     
72.175              9.16612     
72.205              9.17019     
72.235              9.17425     
72.266              9.17832     
72.296              9.18238     
72.326              9.18644     
72.356              9.19051     
72.387              9.19457     
72.417              9.19864     
72.447              9.2027      
72.478              9.20677     
72.508              9.21083     
72.538              9.2149      
72.569              9.21896     
72.599              9.22303     
72.629              9.22709     
72.659              9.23115     
72.69               9.23522     
72.72               9.23928     
72.75               9.24335     
72.781              9.24741     
72.811              9.25148     
72.841              9.25554     
72.871              9.25961     
72.902              9.26367     
72.932              9.26773     
72.962              9.2718      
72.993              9.27586     
73.023              9.27993     
73.053              9.28399     
73.084              9.28806     
73.114              9.29212     
73.144              9.29619     
73.174              9.30025     
73.205              9.30432     
73.235              9.30838     
73.265              9.31244     
73.296              9.31651     
73.326              9.32057     
73.356              9.32464     
73.387              9.3287      
73.417              9.33277     
73.447              9.33683     
73.478              9.3409      
73.508              9.34496     
73.538              9.34902     
73.568              9.35309     
73.599              9.35715     
73.629              9.36122     
73.659              9.36528     
73.69               9.36935     
73.72               9.37341     
73.75               9.37748     
73.781              9.38154     
73.811              9.38561     
73.841              9.38967     
73.871              9.39373     
73.902              9.3978      
73.932              9.40186     
73.962              9.40593     
73.993              9.40999     
74.023              9.41406     
74.053              9.41812     
74.084              9.42219     
74.114              9.42625     
74.144              9.43031     
74.174              9.43438     
74.205              9.43844     
74.235              9.44251     
74.265              9.44657     
74.296              9.45064     
74.326              9.4547      
74.356              9.45877     
74.386              9.46283     
74.417              9.4669      
74.447              9.47096     
74.477              9.47502     
74.508              9.47909     
74.538              9.48315     
74.568              9.48722     
74.599              9.49128     
74.629              9.49535     
74.659              9.49941     
74.689              9.50348     
74.72               9.50754     
74.75               9.5116      
74.78               9.51567     
74.811              9.51973     
74.841              9.5238      
74.871              9.52786     
74.902              9.53193     
74.932              9.53599     
74.962              9.54006     
74.993              9.54412     
75.023              9.54819     
75.053              9.55225     
75.083              9.55631     
75.114              9.56038     
75.144              9.56444     
75.174              9.56851     
75.205              9.57257     
75.235              9.57664     
75.265              9.5807      
75.296              9.58477     
75.326              9.58883     
75.356              9.59289     
75.386              9.59696     
75.417              9.60102     
75.447              9.60509     
75.477              9.60915     
75.508              9.61322     
75.538              9.61728     
75.568              9.62135     
75.599              9.62541     
75.629              9.62947     
75.659              9.63354     
75.689              9.6376      
75.72               9.64167     
75.75               9.64573     
75.78               9.6498      
75.811              9.65386     
75.841              9.65793     
75.871              9.66199     
75.901              9.66606     
75.932              9.67012     
75.962              9.67418     
75.992              9.67825     
76.023              9.68231     
76.053              9.68638     
76.083              9.69044     
76.114              9.69451     
76.144              9.69857     
76.174              9.70264     
76.204              9.7067      
76.235              9.71076     
76.265              9.71483     
76.295              9.71889     
76.326              9.72296     
76.356              9.72702     
76.386              9.73109     
76.417              9.73515     
76.447              9.73922     
76.477              9.74328     
76.508              9.74735     
76.538              9.75141     
76.568              9.75547     
76.598              9.75954     
76.629              9.7636      
76.659              9.76767     
76.689              9.77173     
76.72               9.7758      
76.75               9.77986     
76.78               9.78393     
76.811              9.78799     
76.841              9.79205     
76.871              9.79612     
76.901              9.80018     
76.932              9.80425     
76.962              9.80831     
76.992              9.81238     
77.023              9.81644     
77.053              9.82051     
77.083              9.82457     
77.114              9.82864     
77.144              9.8327      
77.174              9.83676     
77.204              9.84083     
77.235              9.84489     
77.265              9.84896     
77.295              9.85302     
77.326              9.85709     
77.356              9.86115     
77.386              9.86522     
77.416              9.86928     
77.447              9.87334     
77.477              9.87741     
77.507              9.88147     
77.538              9.88554     
77.568              9.8896      
77.598              9.89367     
77.629              9.89773     
77.659              9.9018      
77.689              9.90586     
77.719              9.90993     
77.75               9.91399     
77.78               9.91805     
77.81               9.92212     
77.841              9.92618     
77.871              9.93025     
77.901              9.93431     
77.932              9.93838     
77.962              9.94244     
77.992              9.94651     
78.023              9.95057     
78.053              9.95463     
78.083              9.9587      
78.113              9.96276     
78.144              9.96683     
78.174              9.97089     
78.204              9.97496     
78.235              9.97902     
78.265              9.98309     
78.295              9.98715     
78.326              9.99122     
78.356              9.99528     
78.386              9.99934     
78.416              10.00341    
78.447              10.00747    
78.477              10.01154    
78.507              10.0156     
78.538              10.01967    
78.568              10.02373    
78.598              10.0278     
78.629              10.03186    
78.659              10.03592    
78.689              10.03999    
78.719              10.04405    
78.75               10.04812    
78.78               10.05218    
78.81               10.05625    
78.841              10.06031    
78.871              10.06438    
78.901              10.06844    
78.931              10.0725     
78.962              10.07657    
78.992              10.08063    
79.022              10.0847     
79.053              10.08876    
79.083              10.09283    
79.113              10.09689    
79.144              10.10096    
79.174              10.10502    
79.204              10.10909    
79.234              10.11315    
79.265              10.11721    
79.295              10.12128    
79.325              10.12534    
79.356              10.12941    
79.386              10.13347    
79.416              10.13754    
79.447              10.1416     
79.477              10.14567    
79.507              10.14973    
79.538              10.15379    
79.568              10.15786    
79.598              10.16192    
79.628              10.16599    
79.659              10.17005    
79.689              10.17412    
79.719              10.17818    
79.75               10.18225    
79.78               10.18631    
79.81               10.19038    
79.841              10.19444    
79.871              10.1985     
79.901              10.20257    
79.931              10.20663    
79.962              10.2107     
79.992              10.21476    
80.022              10.21883    
80.053              10.22289    
80.083              10.22696    
80.113              10.23102    
80.144              10.23508    
80.174              10.23915    
80.204              10.24321    
80.234              10.24728    
80.265              10.25134    
80.295              10.25541    
80.325              10.25947    
80.356              10.26354    
80.386              10.2676     
80.416              10.27167    
80.447              10.27573    
80.477              10.27979    
80.507              10.28386    
80.537              10.28792    
80.568              10.29199    
80.598              10.29605    
80.628              10.30012    
80.659              10.30418    
80.689              10.30825    
80.719              10.31231    
80.749              10.31637    
80.78               10.32044    
80.81               10.3245     
80.84               10.32857    
80.871              10.33263    
80.901              10.3367     
80.931              10.34076    
80.962              10.34483    
80.992              10.34889    
81.022              10.35296    
81.052              10.35702    
81.083              10.36108    
81.113              10.36515    
81.143              10.36921    
81.174              10.37328    
81.204              10.37734    
81.234              10.38141    
81.265              10.38547    
81.295              10.38954    
81.325              10.3936     
81.356              10.39766    
81.386              10.40173    
81.416              10.40579    
81.446              10.40986    
81.477              10.41392    
81.507              10.41799    
81.537              10.42205    
81.568              10.42612    
81.598              10.43018    
81.628              10.43425    
81.659              10.43831    
81.689              10.44237    
81.719              10.44644    
81.749              10.4505     
81.78               10.45457    
81.81               10.45863    
81.84               10.4627     
81.871              10.46676    
81.901              10.47083    
81.931              10.47489    
81.962              10.47895    
81.992              10.48302    
82.022              10.48708    
82.052              10.49115    
82.083              10.49521    
82.113              10.49928    
82.143              10.50334    
82.174              10.50741    
82.204              10.51147    
82.234              10.51553    
82.264              10.5196     
82.295              10.52366    
82.325              10.52773    
82.355              10.53179    
82.386              10.53586    
82.416              10.53992    
82.446              10.54399    
82.477              10.54805    
82.507              10.55212    
82.537              10.55618    
82.567              10.56024    
82.598              10.56431    
82.628              10.56837    
82.658              10.57244    
82.689              10.5765     
82.719              10.58057    
82.749              10.58463    
82.78               10.5887     
82.81               10.59276    
82.84               10.59682    
82.871              10.60089    
82.901              10.60495    
82.931              10.60902    
82.961              10.61308    
82.992              10.61715    
83.022              10.62121    
83.052              10.62528    
83.083              10.62934    
83.113              10.63341    
83.143              10.63747    
83.174              10.64153    
83.204              10.6456     
83.234              10.64966    
83.264              10.65373    
83.295              10.65779    
83.325              10.66186    
83.355              10.66592    
83.386              10.66999    
83.416              10.67405    
83.446              10.67811    
83.477              10.68218    
83.507              10.68624    
83.537              10.69031    
83.567              10.69437    
83.598              10.69844    
83.628              10.7025     
83.658              10.70657    
83.689              10.71063    
83.719              10.7147     
83.749              10.71876    
83.779              10.72282    
83.81               10.72689    
83.84               10.73095    
83.87               10.73502    
83.901              10.73908    
83.931              10.74315    
83.961              10.74721    
83.992              10.75128    
84.022              10.75534    
84.052              10.7594     
84.082              10.76347    
84.113              10.76753    
84.143              10.7716     
84.173              10.77566    
84.204              10.77973    
84.234              10.78379    
84.264              10.78786    
84.295              10.79192    
84.325              10.79599    
84.355              10.80005    
84.386              10.80411    
84.416              10.80818    
84.446              10.81224    
84.476              10.81631    
84.507              10.82037    
84.537              10.82444    
84.567              10.8285     
84.598              10.83257    
84.628              10.83663    
84.658              10.84069    
84.689              10.84476    
84.719              10.84882    
84.749              10.85289    
84.779              10.85695    
84.81               10.86102    
84.84               10.86508    
84.87               10.86915    
84.901              10.87321    
84.931              10.87728    
84.961              10.88134    
84.992              10.8854     
85.022              10.88947    
85.052              10.89353    
85.082              10.8976     
85.113              10.90166    
85.143              10.90573    
85.173              10.90979    
85.204              10.91386    
85.234              10.91792    
85.264              10.92198    
85.294              10.92605    
85.325              10.93011    
85.355              10.93418    
85.385              10.93824    
85.416              10.94231    
85.446              10.94637    
85.476              10.95044    
85.507              10.9545     
85.537              10.95856    
85.567              10.96263    
85.597              10.96669    
85.628              10.97076    
85.658              10.97482    
85.688              10.97889    
85.719              10.98295    
85.749              10.98702    
85.779              10.99108    
85.81               10.99515    
85.84               10.99921    
85.87               11.00327    
85.901              11.00734    
85.931              11.0114     
85.961              11.01547    
85.991              11.01953    
86.022              11.0236     
86.052              11.02766    
86.082              11.03173    
86.113              11.03579    
86.143              11.03985    
86.173              11.04392    
86.204              11.04798    
86.234              11.05205    
86.264              11.05611    
86.294              11.06018    
86.325              11.06424    
86.355              11.06831    
86.385              11.07237    
86.416              11.07644    
86.446              11.0805     
86.476              11.08456    
86.507              11.08863    
86.537              11.09269    
86.567              11.09676    
86.597              11.10082    
86.628              11.10489    
86.658              11.10895    
86.688              11.11302    
86.719              11.11708    
86.749              11.12114    
86.779              11.12521    
86.809              11.12927    
86.84               11.13334    
86.87               11.1374     
86.9                11.14147    
86.931              11.14553    
86.961              11.1496     
86.991              11.15366    
87.022              11.15773    
87.052              11.16179    
87.082              11.16585    
87.112              11.16992    
87.143              11.17398    
87.173              11.17805    
87.203              11.18211    
87.234              11.18618    
87.264              11.19024    
87.294              11.19431    
87.325              11.19837    
87.355              11.20243    
87.385              11.2065     
87.416              11.21056    
87.446              11.21463    
87.476              11.21869    
87.506              11.22276    
87.537              11.22682    
87.567              11.23089    
87.597              11.23495    
87.628              11.23902    
87.658              11.24308    
87.688              11.24714    
87.719              11.25121    
87.749              11.25527    
87.779              11.25934    
87.809              11.2634     
87.84               11.26747    
87.87               11.27153    
87.9                11.2756     
87.931              11.27966    
87.961              11.28372    
87.991              11.28779    
88.022              11.29185    
88.052              11.29592    
88.082              11.29998    
88.112              11.30405    
88.143              11.30811    
88.173              11.31218    
88.203              11.31624    
88.234              11.32031    
88.264              11.32437    
88.294              11.32843    
88.325              11.3325     
88.355              11.33656    
88.385              11.34063    
88.415              11.34469    
88.446              11.34876    
88.476              11.35282    
88.506              11.35689    
88.537              11.36095    
88.567              11.36501    
88.597              11.36908    
88.627              11.37314    
88.658              11.37721    
88.688              11.38127    
88.718              11.38534    
88.749              11.3894     
88.779              11.39347    
88.809              11.39753    
88.84               11.40159    
88.87               11.40566    
88.9                11.40972    
88.93               11.41379    
88.961              11.41785    
88.991              11.42192    
89.021              11.42598    
89.052              11.43005    
89.082              11.43411    
89.112              11.43818    
89.143              11.44224    
89.173              11.4463     
89.203              11.45037    
89.234              11.45443    
89.264              11.4585     
89.294              11.46256    
89.324              11.46663    
89.355              11.47069    
89.385              11.47476    
89.415              11.47882    
89.446              11.48288    
89.476              11.48695    
89.506              11.49101    
89.537              11.49508    
89.567              11.49914    
89.597              11.50321    
89.627              11.50727    
89.658              11.51134    
89.688              11.5154     
89.718              11.51947    
89.749              11.52353    
89.779              11.52759    
89.809              11.53166    
89.84               11.53572    
89.87               11.53979    
89.9                11.54385    
89.93               11.54792    
89.961              11.55198    
89.991              11.55605    
90.021              11.56011    
90.052              11.56417    
90.082              11.56824    
90.112              11.5723     
90.142              11.57637    
90.173              11.58043    
90.203              11.5845     
90.233              11.58856    
90.264              11.59263    
90.294              11.59669    
90.324              11.60076    
90.355              11.60482    
90.385              11.60888    
90.415              11.61295    
90.445              11.61701    
90.476              11.62108    
90.506              11.62514    
90.536              11.62921    
90.567              11.63327    
90.597              11.63734    
90.627              11.6414     
90.658              11.64546    
90.688              11.64953    
90.718              11.65359    
90.749              11.65766    
90.779              11.66172    
90.809              11.66579    
90.839              11.66985    
90.87               11.67392    
90.9                11.67798    
90.93               11.68205    
90.961              11.68611    
90.991              11.69017    
91.021              11.69424    
91.052              11.6983     
91.082              11.70237    
91.112              11.70643    
91.142              11.7105     
91.173              11.71456    
91.203              11.71863    
91.233              11.72269    
91.264              11.72675    
91.294              11.73082    
91.324              11.73488    
91.355              11.73895    
91.385              11.74301    
91.415              11.74708    
91.445              11.75114    
91.476              11.75521    
91.506              11.75927    
91.536              11.76334    
91.567              11.7674     
91.597              11.77146    
91.627              11.77553    
91.657              11.77959    
91.688              11.78366    
91.718              11.78772    
91.748              11.79179    
91.779              11.79585    
91.809              11.79992    
91.839              11.80398    
91.87               11.80804    
91.9                11.81211    
91.93               11.81617    
91.96               11.82024    
91.991              11.8243     
92.021              11.82837    
92.051              11.83243    
92.082              11.8365     
92.112              11.84056    
92.142              11.84462    
92.173              11.84869    
92.203              11.85275    
92.233              11.85682    
92.264              11.86088    
92.294              11.86495    
92.324              11.86901    
92.354              11.87308    
92.385              11.87714    
92.415              11.88121    
92.445              11.88527    
92.476              11.88933    
92.506              11.8934     
92.536              11.89746    
92.567              11.90153    
92.597              11.90559    
92.627              11.90966    
92.657              11.91372    
92.688              11.91779    
92.718              11.92185    
92.748              11.92591    
92.779              11.92998    
92.809              11.93404    
92.839              11.93811    
92.87               11.94217    
92.9                11.94624    
92.93               11.9503     
92.96               11.95437    
92.991              11.95843    
93.021              11.9625     
93.051              11.96656    
93.082              11.97062    
93.112              11.97469    
93.142              11.97875    
93.172              11.98282    
93.203              11.98688    
93.233              11.99095    
93.263              11.99501    
93.294              11.99908    
93.324              12.00314    
93.354              12.0072     
93.385              12.01127    
93.415              12.01533    
93.445              12.0194     
93.475              12.02346    
93.506              12.02753    
93.536              12.03159    
93.566              12.03566    
93.597              12.03972    
93.627              12.04379    
93.657              12.04785    
93.688              12.05191    
93.718              12.05598    
93.748              12.06004    
93.779              12.06411    
93.809              12.06817    
93.839              12.07224    
93.869              12.0763     
93.9                12.08037    
93.93               12.08443    
93.96               12.08849    
93.991              12.09256    
94.021              12.09662    
94.051              12.10069    
94.082              12.10475    
94.112              12.10882    
94.142              12.11288    
94.172              12.11695    
94.203              12.12101    
94.233              12.12508    
94.263              12.12914    
94.294              12.1332     
94.324              12.13727    
94.354              12.14133    
94.385              12.1454     
94.415              12.14946    
94.445              12.15353    
94.475              12.15759    
94.506              12.16166    
94.536              12.16572    
94.566              12.16978    
94.597              12.17385    
94.627              12.17791    
94.657              12.18198    
94.688              12.18604    
94.718              12.19011    
94.748              12.19417    
94.778              12.19824    
94.809              12.2023     
94.839              12.20637    
94.869              12.21043    
94.9                12.21449    
94.93               12.21856    
94.96               12.22262    
94.99               12.22669    
95.021              12.23075    
95.051              12.23482    
95.081              12.23888    
95.112              12.24295    
95.142              12.24701    
95.172              12.25107    
95.203              12.25514    
95.233              12.2592     
95.263              12.26327    
95.294              12.26733    
95.324              12.2714     
95.354              12.27546    
95.384              12.27953    
95.415              12.28359    
95.445              12.28765    
95.475              12.29172    
95.506              12.29578    
95.536              12.29985    
95.566              12.30391    
95.597              12.30798    
95.627              12.31204    
95.657              12.31611    
95.687              12.32017    
95.718              12.32424    
95.748              12.3283     
95.778              12.33236    
95.809              12.33643    
95.839              12.34049    
95.869              12.34456    
95.9                12.34862    
95.93               12.35269    
95.96               12.35675    
95.99               12.36082    
96.021              12.36488    
96.051              12.36894    
96.081              12.37301    
96.112              12.37707    
96.142              12.38114    
96.172              12.3852     
96.203              12.38927    
96.233              12.39333    
96.263              12.3974     
96.293              12.40146    
96.324              12.40553    
96.354              12.40959    
96.384              12.41365    
96.415              12.41772    
96.445              12.42178    
96.475              12.42585    
96.505              12.42991    
96.536              12.43398    
96.566              12.43804    
96.596              12.44211    
96.627              12.44617    
96.657              12.45023    
96.687              12.4543     
96.718              12.45836    
96.748              12.46243    
96.778              12.46649    
96.808              12.47056    
96.839              12.47462    
96.869              12.47869    
96.899              12.48275    
96.93               12.48682    
96.96               12.49088    
96.99               12.49494    
97.021              12.49901    
97.051              12.50307    
97.081              12.50714    
97.112              12.5112     
97.142              12.51527    
97.172              12.51933    
97.202              12.5234     
97.233              12.52746    
97.263              12.53152    
97.293              12.53559    
97.324              12.53965    
97.354              12.54372    
97.384              12.54778    
97.415              12.55185    
97.445              12.55591    
97.475              12.55998    
97.505              12.56404    
97.536              12.56811    
97.566              12.57217    
97.596              12.57623    
97.627              12.5803     
97.657              12.58436    
97.687              12.58843    
97.718              12.59249    
97.748              12.59656    
97.778              12.60062    
97.808              12.60469    
97.839              12.60875    
97.869              12.61281    
97.899              12.61688    
97.93               12.62094    
97.96               12.62501    
97.99               12.62907    
98.02               12.63314    
98.051              12.6372     
98.081              12.64127    
98.111              12.64533    
98.142              12.6494     
98.172              12.65346    
98.202              12.65752    
98.233              12.66159    
98.263              12.66565    
98.293              12.66972    
98.323              12.67378    
98.354              12.67785    
98.384              12.68191    
98.414              12.68598    
98.445              12.69004    
98.475              12.6941     
98.505              12.69817    
98.536              12.70223    
98.566              12.7063     
98.596              12.71036    
98.627              12.71443    
98.657              12.71849    
98.687              12.72256    
98.717              12.72662    
98.748              12.73068    
98.778              12.73475    
98.808              12.73881    
98.839              12.74288    
98.869              12.74694    
98.899              12.75101    
98.93               12.75507    
98.96               12.75914    
98.99               12.7632     
99.02               12.76727    
99.051              12.77133    
99.081              12.77539    
99.111              12.77946    
99.142              12.78352    
99.172              12.78759    
99.202              12.79165    
99.233              12.79572    
99.263              12.79978    
99.293              12.80385    
99.323              12.80791    
99.354              12.81197    
99.384              12.81604    
99.414              12.8201     
99.445              12.82417    
99.475              12.82823    
99.505              12.8323     
99.535              12.83636    
99.566              12.84043    
99.596              12.84449    
99.626              12.84856    
99.657              12.85262    
99.687              12.85668    
99.717              12.86075    
99.748              12.86481    
99.778              12.86888    
99.808              12.87294    
99.838              12.87701    
99.869              12.88107    
99.899              12.88514    
99.929              12.8892     
99.96               12.89326    
99.99               12.89733    
100.02              12.90139    
100.051             12.90546    
100.081             12.90952    
100.111             12.91359    
100.142             12.91765    
100.172             12.92172    
100.202             12.92578    
100.232             12.92985    
100.263             12.93391    
100.293             12.93797    
100.323             12.94204    
100.354             12.9461     
100.384             12.95017    
100.414             12.95423    
100.445             12.9583     
100.475             12.96236    
100.505             12.96643    
100.535             12.97049    
100.566             12.97455    
100.596             12.97862    
100.626             12.98268    
100.657             12.98675    
100.687             12.99081    
100.717             12.99488    
100.748             12.99894    
100.778             13.00301    
100.808             13.00707    
100.838             13.01114    
100.869             13.0152     
100.899             13.01926    
100.929             13.02333    
100.96              13.02739    
100.99              13.03146    
101.02              13.03552    
101.05              13.03959    
101.081             13.04365    
101.111             13.04772    
101.141             13.05178    
101.172             13.05584    
101.202             13.05991    
101.232             13.06397    
101.263             13.06804    
101.293             13.0721     
101.323             13.07617    
101.353             13.08023    
101.384             13.0843     
101.414             13.08836    
101.444             13.09243    
101.475             13.09649    
101.505             13.10055    
101.535             13.10462    
101.566             13.10868    
101.596             13.11275    
101.626             13.11681    
101.657             13.12088    
101.687             13.12494    
101.717             13.12901    
101.747             13.13307    
101.778             13.13713    
101.808             13.1412     
101.838             13.14526    
101.869             13.14933    
101.899             13.15339    
101.929             13.15746    
101.96              13.16152    
101.99              13.16559    
102.02              13.16965    
102.05              13.17371    
102.081             13.17778    
102.111             13.18184    
102.141             13.18591    
102.172             13.18997    
102.202             13.19404    
102.232             13.1981     
102.263             13.20217    
102.293             13.20623    
102.323             13.2103     
102.353             13.21436    
102.384             13.21842    
102.414             13.22249    
102.444             13.22655    
102.475             13.23062    
102.505             13.23468    
102.535             13.23875    
102.566             13.24281    
102.596             13.24688    
102.626             13.25094    
102.656             13.255      
102.687             13.25907    
102.717             13.26313    
102.747             13.2672     
102.778             13.27126    
102.808             13.27533    
102.838             13.27939    
102.868             13.28346    
102.899             13.28752    
102.929             13.29159    
102.959             13.29565    
102.99              13.29971    
103.02              13.30378    
103.05              13.30784    
103.081             13.31191    
103.111             13.31597    
103.141             13.32004    
103.172             13.3241     
103.202             13.32817    
103.232             13.33223    
103.262             13.33629    
103.293             13.34036    
103.323             13.34442    
103.353             13.34849    
103.384             13.35255    
103.414             13.35662    
103.444             13.36068    
103.475             13.36475    
103.505             13.36881    
103.535             13.37288    
103.565             13.37694    
103.596             13.381      
103.626             13.38507    
103.656             13.38913    
103.687             13.3932     
103.717             13.39726    
103.747             13.40133    
103.778             13.40539    
103.808             13.40946    
103.838             13.41352    
103.868             13.41758    
103.899             13.42165    
103.929             13.42571    
103.959             13.42978    
103.99              13.43384    
104.02              13.43791    
104.05              13.44197    
104.081             13.44604    
104.111             13.4501     
104.141             13.45417    
104.171             13.45823    
104.202             13.46229    
104.232             13.46636    
104.262             13.47042    
104.293             13.47449    
104.323             13.47855    
104.353             13.48262    
104.383             13.48668    
104.414             13.49075    
104.444             13.49481    
104.474             13.49887    
104.505             13.50294    
104.535             13.507      
104.565             13.51107    
104.596             13.51513    
104.626             13.5192     
104.656             13.52326    
104.686             13.52733    
104.717             13.53139    
104.747             13.53546    
104.777             13.53952    
104.808             13.54358    
104.838             13.54765    
104.868             13.55171    
104.899             13.55578    
104.929             13.55984    
104.959             13.56391    
104.99              13.56797    
105.02              13.57204    
105.05              13.5761     
105.08              13.58016    
105.111             13.58423    
105.141             13.58829    
105.171             13.59236    
105.202             13.59642    
105.232             13.60049    
105.262             13.60455    
105.293             13.60862    
105.323             13.61268    
105.353             13.61675    
105.383             13.62081    
105.414             13.62487    
105.444             13.62894    
105.474             13.633      
105.505             13.63707    
105.535             13.64113    
105.565             13.6452     
105.596             13.64926    
105.626             13.65333    
105.656             13.65739    
105.686             13.66145    
105.717             13.66552    
105.747             13.66958    
105.777             13.67365    
105.808             13.67771    
105.838             13.68178    
105.868             13.68584    
105.898             13.68991    
105.929             13.69397    
105.959             13.69803    
105.989             13.7021     
106.02              13.70616    
106.05              13.71023    
106.08              13.71429    
106.111             13.71836    
106.141             13.72242    
106.171             13.72649    
106.201             13.73055    
106.232             13.73462    
106.262             13.73868    
106.292             13.74274    
106.323             13.74681    
106.353             13.75087    
106.383             13.75494    
106.414             13.759      
106.444             13.76307    
106.474             13.76713    
106.505             13.7712     
106.535             13.77526    
106.565             13.77932    
106.595             13.78339    
106.626             13.78745    
106.656             13.79152    
106.686             13.79558    
106.717             13.79965    
106.747             13.80371    
106.777             13.80778    
106.808             13.81184    
106.838             13.81591    
106.868             13.81997    
106.898             13.82403    
106.929             13.8281     
106.959             13.83216    
106.989             13.83623    
107.02              13.84029    
107.05              13.84436    
107.08              13.84842    
107.111             13.85249    
107.141             13.85655    
107.171             13.86061    
107.201             13.86468    
107.232             13.86874    
107.262             13.87281    
107.292             13.87687    
107.323             13.88094    
107.353             13.885      
107.383             13.88907    
107.413             13.89313    
107.444             13.8972     
107.474             13.90126    
107.504             13.90532    
107.535             13.90939    
107.565             13.91345    
107.595             13.91752    
107.626             13.92158    
107.656             13.92565    
107.686             13.92971    
107.716             13.93378    
107.747             13.93784    
107.777             13.9419     
107.807             13.94597    
107.838             13.95003    
107.868             13.9541     
107.898             13.95816    
107.929             13.96223    
107.959             13.96629    
107.989             13.97036    
108.02              13.97442    
108.05              13.97849    
108.08              13.98255    
108.11              13.98661    
108.141             13.99068    
108.171             13.99474    
108.201             13.99881    
108.232             14.00287    
108.262             14.00694    
108.292             14.011      
108.323             14.01507    
108.353             14.01913    
108.383             14.02319    
108.413             14.02726    
108.444             14.03132    
108.474             14.03539    
